Id,SalePrice
1461,120500.0
1462,174000.0
1463,192000.0
1464,231500.0
1465,191000.0
1466,178000.0
1467,193500.0
1468,172785.0
1469,157900.0
1470,143250.0
1471,164000.0
1472,119000.0
1473,88000.0
1474,146000.0
1475,108000.0
1476,320000.0
1477,239000.0
1478,250000.0
1479,313000.0
1480,386250.0
1481,271900.0
1482,202500.0
1483,176432.0
1484,160200.0
1485,184100.0
1486,219500.0
1487,315750.0
1488,232000.0
1489,198900.0
1490,177500.0
1491,195000.0
1492,168000.0
1493,205000.0
1494,290000.0
1495,325000.0
1496,164000.0
1497,183000.0
1498,173733.0
1499,173733.0
1500,173733.0
1501,168500.0
1502,184100.0
1503,286000.0
1504,239000.0
1505,253000.0
1506,185750.0
1507,151400.0
1508,237500.0
1509,118500.0
1510,124000.0
1511,180500.0
1512,165000.0
1513,112000.0
1514,188000.0
1515,200500.0
1516,112000.0
1517,197500.0
1518,135000.0
1519,224900.0
1520,139000.0
1521,125000.0
1522,109900.0
1523,128000.0
1524,134000.0
1525,168000.0
1526,129500.0
1527,96500.0
1528,105000.0
1529,137500.0
1530,167000.0
1531,234000.0
1532,94750.0
1533,194000.0
1534,96500.0
1535,119000.0
1536,110500.0
1537,88000.0
1538,200000.0
1539,210000.0
1540,139000.0
1541,130500.0
1542,125000.0
1543,177000.0
1544,79000.0
1545,119000.0
1546,87000.0
1547,115000.0
1548,119900.0
1549,147000.0
1550,135900.0
1551,135000.0
1552,133000.0
1553,143000.0
1554,135000.0
1555,200500.0
1556,128000.0
1557,140000.0
1558,110000.0
1559,135000.0
1560,135900.0
1561,136500.0
1562,117500.0
1563,123000.0
1564,260000.0
1565,128200.0
1566,324000.0
1567,115000.0
1568,185000.0
1569,190000.0
1570,144900.0
1571,125000.0
1572,153000.0
1573,423000.0
1574,117500.0
1575,223500.0
1576,177500.0
1577,206000.0
1578,149900.0
1579,133000.0
1580,289000.0
1581,149000.0
1582,129000.0
1583,305900.0
1584,213500.0
1585,136500.0
1586,80000.0
1587,122900.0
1588,153337.0
1589,140000.0
1590,139000.0
1591,108000.0
1592,127000.0
1593,132500.0
1594,190000.0
1595,55000.0
1596,167000.0
1597,118000.0
1598,170000.0
1599,144000.0
1600,179900.0
1601,35311.0
1602,105900.0
1603,96500.0
1604,275000.0
1605,339750.0
1606,117000.0
1607,110000.0
1608,227680.0
1609,179900.0
1610,167500.0
1611,140000.0
1612,169990.0
1613,181000.0
1614,123000.0
1615,112000.0
1616,88000.0
1617,100000.0
1618,114500.0
1619,175000.0
1620,151400.0
1621,143000.0
1622,135500.0
1623,210000.0
1624,196000.0
1625,128500.0
1626,167900.0
1627,177500.0
1628,233000.0
1629,163900.0
1630,164000.0
1631,191000.0
1632,191000.0
1633,184100.0
1634,185000.0
1635,165600.0
1636,169000.0
1637,210000.0
1638,194500.0
1639,165000.0
1640,260000.0
1641,165000.0
1642,226000.0
1643,250000.0
1644,226000.0
1645,175000.0
1646,167900.0
1647,289000.0
1648,124000.0
1649,148000.0
1650,129000.0
1651,96500.0
1652,113000.0
1653,133000.0
1654,179400.0
1655,173733.0
1656,148500.0
1657,155000.0
1658,148500.0
1659,180000.0
1660,139000.0
1661,426000.0
1662,339750.0
1663,315500.0
1664,372402.0
1665,315500.0
1666,306000.0
1667,383970.0
1668,281000.0
1669,275000.0
1670,320000.0
1671,306000.0
1672,306000.0
1673,305000.0
1674,275500.0
1675,173000.0
1676,196000.0
1677,203000.0
1678,160000.0
1679,386250.0
1680,377500.0
1681,266000.0
1682,386250.0
1683,192000.0
1684,179540.0
1685,163990.0
1686,179900.0
1687,189000.0
1688,222500.0
1689,202500.0
1690,221000.0
1691,188500.0
1692,219210.0
1693,184100.0
1694,193000.0
1695,180000.0
1696,267000.0
1697,180000.0
1698,340000.0
1699,302000.0
1700,410000.0
1701,250000.0
1702,279500.0
1703,287090.0
1704,320000.0
1705,192000.0
1706,385000.0
1707,164990.0
1708,250000.0
1709,256300.0
1710,245000.0
